Source,Redshift,RA,DEC,Ref.,HSC coverage,HST Coverage,JWST Coverage
HerBS-102A,3.287,30:24.4,-32:50:32.3,\cite{Urquhart_2022},No,No,No
HerBS-136,3.2884,53:08.5,-00:57:28.8,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-189,3.3,56:00.7,-31:32:33.0,\cite{Urquhart_2022},No,No,No
HerBS-42A,3.307,00:07.5,-33:41:03.0,\cite{Urquhart_2022},No,No,No
HerBS-129,3.3074,00:53.8,03:00.3,\cite{Cox_2023},No,F110W,No
HerBS-21A,3.323,44:18.1,-30:39:38.9,\cite{Urquhart_2022},No,No,No
HerS-14,3.3441,40:57.4,-01:05:46.8,\cite{Cox_2023},"g, r, i, z","F343N, F110W",No
HeLMS-48,3.3514,28:33.5,-03:14:18.9,\cite{Cox_2023},No,"MIRVIS, F110W",No
HeLMS-56,3.3896,13:25.8,25:07.3,\cite{Cox_2023},g,F110W,No
HeLMS-6,3.4346,40:51.5,-04:19:38,\cite{Cox_2023},No,F110W,No
HerBS-52,3.44,51:25.8,+25:49:30,\cite{Cox_2023},No,F110W,No
HerBS-191,3.4428,47:53.3,24:45.8,\cite{Cox_2023},No,No,No
HerBS-204 E,3.4933,29:09.7,09:57.1,\cite{Cox_2023},No,"MIRVIS, F110W",No
HerBS-204 W,3.4937,29:09.2,09:59.3,\cite{Cox_2023},No,"MIRVIS, F110W",No
HeLMS-5,3.5027,40:51.3,-04:19:37,\cite{Cox_2023},No,F110W,No
HerBS-5,3.565,56:32.5,+23:36:27,"\cite{Negrello_2017, Cox_2023}",No,F110W,No
HerBS-4,3.634,30:51.0,+01:32:25,"\cite{Negrello_2017, Cox_2023}","g, r, z, y",F110W,No
HerBS-72,3.638,45:12.2,-00:15:10.5,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-150C,3.6682,24:59.0,-00:56:47.5,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-150E,3.6732,24:59.3,-00:56:51.9,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HATLASJ125135.3+261457,3.675,51:35.3,+26:14:57,\cite{Negrello_2017},No,No,No
HerBS-150W,3.6787,24:58.7,-00:56:48.7,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-9,3.68,51:35.3,+26:14:58,\cite{Cox_2023},No,No,No
HerBS-193,3.6951,53:52.0,-00:08:05.4,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-154,3.707,22:58.1,50:51.7,\cite{Neri_2020},No,No,No
HerBS-108,3.7168,38:17.4,-00:41:34.4,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-61,3.7293,01:27.6,-01:40:45.8,\cite{Cox_2023},"g, r, i, z, y",F110W,No
HerBS-78,3.7344,33:52.6,04:17.2,\cite{Cox_2023},"g, r, i, z, y",No,No
HerBS-121A,3.741,36:15.3,-34:33:02.3,\cite{Urquhart_2022},No,No,No
HeLMS-27,3.7652,37:58.1,-01:06:20.1,\cite{Cox_2023},No,No,No
